Vendor_Customer_Name,GSTIN,Invoice_No,Invoice_Date,Ledger_Type,Invoice_Value,Taxable_Value,CGST_Amount,SGST_Amount,IGST_Amount,Total_Tax,Payment_Status,Payment_Date,TDS_Deducted,Account_Code,Remarks,Upload_Timestamp
Banik-Chana,196HTF4PYZR62ZZ,INV-00123,2024-09-29,Receivable,297192.74,232181.83,32505.46,32505.46,0.0,65010.91,Paid,2024-10-03,2971.93,ACC-6678,Approved,2025-11-01 19:53:42
Swaminathan and Sons,19CQ30O30UBM1ZR,INV-00124,2024-10-01,Receivable,491342.85,467945.57,11698.64,11698.64,0.0,23397.28,Unpaid,2024-10-28,4913.43,ACC-6225,,2025-11-01 19:53:42
"Sama, Nanda and Konda",27KGEX08N6Q72ZM,INV-00125,2024-10-12,Payable,385882.41,344537.87,20672.27,20672.27,0.0,41344.54,Paid,2024-11-09,3858.82,ACC-3069,Approved,2025-11-01 19:53:42
Balakrishnan-Rattan,27GTT0IAAKYT4ZM,INV-00126,2024-12-27,Receivable,154911.46,131280.9,0.0,0.0,23630.56,23630.56,Paid,2025-01-19,1549.11,ACC-1815,Verified,2025-11-01 19:53:42
Vohra PLC,07G51BXW76IC4ZB,INV-00127,2025-04-17,Receivable,318060.33,302914.6,0.0,0.0,15145.73,15145.73,Paid,2025-05-17,3180.6,ACC-6606,,2025-11-01 19:53:42
"Bhat, Taneja and Prashad",24BPT11F9I6U4ZT,INV-00128,2025-08-11,Receivable,460328.31,411007.42,24660.44,24660.44,0.0,49320.89,Paid,2025-08-26,0.0,ACC-3228,Approved,2025-11-01 19:53:42
Barad Ltd,299SOJUV0GYU1ZL,INV-00129,2025-07-27,Receivable,399970.25,338957.84,30506.21,30506.21,0.0,61012.41,Paid,2025-08-13,0.0,ACC-6375,Approved,2025-11-01 19:53:42
"Khurana, Uppal and Prasad",09FN1R4KZ36U2ZR,INV-00130,2025-05-30,Payable,84790.1,75705.45,4542.32,4542.32,0.0,9084.65,Paid,2025-06-02,0.0,ACC-9465,Pending review,2025-11-01 19:53:42
Mahal-Konda,29LCQNT3BNVB1ZG,INV-00131,2025-09-25,Payable,333665.93,297916.01,17874.96,17874.96,0.0,35749.92,Partial,2025-10-04,3336.66,ACC-4938,Verified,2025-11-01 19:53:42
Kothari LLC,295L8A78E9RI4ZW,INV-00132,2024-12-14,Payable,228871.68,204349.71,12260.99,12260.99,0.0,24521.97,Unpaid,2024-12-17,0.0,ACC-9884,Approved,2025-11-01 19:53:42
Anne PLC,07NTMJSRD9Q41ZL,INV-00133,2025-02-08,Payable,238364.87,212825.78,0.0,0.0,25539.09,25539.09,Unpaid,2025-02-11,0.0,ACC-6757,Verified,2025-11-01 19:53:42
"Chauhan, Sandhu and Pillay",27J7UPFLN4RX4ZK,INV-00134,2025-01-10,Payable,491579.79,384046.71,53766.54,53766.54,0.0,107533.08,Paid,2025-01-29,0.0,ACC-1016,Pending review,2025-11-01 19:53:42
Mital Ltd,09G2GZR7TXCB1ZV,INV-00135,2024-09-25,Receivable,492193.32,384526.03,0.0,0.0,107667.29,107667.29,Paid,2024-10-22,4921.93,ACC-6160,Pending review,2025-11-01 19:53:42
"Varma, Sundaram and Chana",24IZASNWYWRR1ZR,INV-00136,2025-06-10,Receivable,222133.66,211555.87,5288.9,5288.9,0.0,10577.79,Paid,2025-07-04,2221.34,ACC-6942,Pending review,2025-11-01 19:53:42
Patla PLC,199A3Y36DDFG4ZI,INV-00137,2025-03-01,Receivable,180466.07,140989.12,0.0,0.0,39476.95,39476.95,Paid,2025-03-28,1804.66,ACC-4270,Verified,2025-11-01 19:53:42
Radhakrishnan Inc,078QIZK3C9XB2ZM,INV-00138,2025-03-13,Payable,294864.9,280823.71,0.0,0.0,14041.19,14041.19,Unpaid,2025-03-16,2948.65,ACC-6143,Verified,2025-11-01 19:53:42
Ganesh-Chacko,24GRP2U4DTBH4ZS,INV-00139,2025-05-02,Payable,149978.41,142836.58,3570.91,3570.91,0.0,7141.83,Unpaid,2025-05-11,1499.78,ACC-2419,Approved,2025-11-01 19:53:42
Keer Ltd,19UB7L8V1ZOC1ZS,INV-00140,2025-01-02,Receivable,368231.68,287681.0,40275.34,40275.34,0.0,80550.68,Partial,2025-01-12,0.0,ACC-3307,,2025-11-01 19:53:42
"Keer, Pai and Anne",091F90S9BP4M4ZT,INV-00141,2025-03-23,Receivable,572029.85,484771.06,0.0,0.0,87258.79,87258.79,Partial,2025-04-10,5720.3,ACC-7752,Approved,2025-11-01 19:53:42
Dyal Ltd,24J9RM7PYXDW1ZW,INV-00142,2024-10-08,Payable,56222.45,50198.62,3011.91,3011.91,0.0,6023.83,Partial,2024-10-17,0.0,ACC-8736,Verified,2025-11-01 19:53:42
Biswas LLC,242FOMD7Q1DD2ZO,INV-00143,2025-06-13,Receivable,360732.93,281822.6,0.0,0.0,78910.33,78910.33,Partial,2025-06-16,3607.33,ACC-9432,Pending review,2025-11-01 19:53:42
Shanker-Kashyap,27DTV25AO20U1ZS,INV-00144,2025-05-25,Receivable,119162.41,93095.63,0.0,0.0,26066.78,26066.78,Paid,2025-06-20,0.0,ACC-9821,Verified,2025-11-01 19:53:42
Sarkar PLC,29JJFGJK2N7Z2ZT,INV-00145,2025-07-13,Payable,111109.56,105818.63,0.0,0.0,5290.93,5290.93,Partial,2025-08-07,0.0,ACC-5224,Approved,2025-11-01 19:53:42
"Wagle, Dugar and Sehgal",07AO4N5PP3XV2ZK,INV-00146,2025-07-06,Payable,531066.67,474166.67,28450.0,28450.0,0.0,56900.0,Paid,2025-07-18,5310.67,ACC-7607,Pending review,2025-11-01 19:53:42
Nair-Chander,07GOL0W82LK22ZD,INV-00147,2025-06-16,Payable,120850.26,107902.02,0.0,0.0,12948.24,12948.24,Paid,2025-07-01,1208.5,ACC-4495,Approved,2025-11-01 19:53:42
Kala Inc,24QZPKY32ORW1ZI,INV-00148,2025-08-04,Receivable,109478.63,85530.18,11974.23,11974.23,0.0,23948.45,Unpaid,2025-08-21,1094.79,ACC-4964,Approved,2025-11-01 19:53:42
"Sachdeva, Pant and Minhas",27QVUT75PB8Z4ZT,INV-00149,2025-07-24,Payable,480959.44,458056.61,0.0,0.0,22902.83,22902.83,Unpaid,2025-08-10,0.0,ACC-5472,,2025-11-01 19:53:42
Maharaj-Brar,24XFWUXX8L2D1ZI,INV-00150,2024-12-23,Payable,291459.12,260231.36,15613.88,15613.88,0.0,31227.76,Partial,2025-01-06,0.0,ACC-9977,Pending review,2025-11-01 19:53:42
Garde-Pandit,07O1VSMADO8E4ZE,INV-00151,2025-02-26,Receivable,208417.63,162826.27,0.0,0.0,45591.36,45591.36,Unpaid,2025-03-28,2084.18,ACC-4198,Approved,2025-11-01 19:53:42
Bobal and Sons,19RRPZLK3E4X4ZZ,INV-00152,2024-11-24,Payable,521541.44,465662.0,0.0,0.0,55879.44,55879.44,Unpaid,2024-12-20,0.0,ACC-5881,,2025-11-01 19:53:42
"Soman, Bhandari and Nair",19FU8IOGXPBW1ZO,INV-00153,2025-07-01,Payable,231504.93,220480.89,0.0,0.0,11024.04,11024.04,Partial,2025-07-03,0.0,ACC-1869,,2025-11-01 19:53:42
Choudhary Ltd,29KZ2U2TNHEY2ZQ,INV-00154,2025-07-25,Receivable,209367.05,163568.01,22899.52,22899.52,0.0,45799.04,Unpaid,2025-08-17,0.0,ACC-6899,,2025-11-01 19:53:42
Dhaliwal and Sons,19EMQGY27VYL1ZJ,INV-00155,2024-10-30,Receivable,111654.83,99691.81,5981.51,5981.51,0.0,11963.02,Unpaid,2024-11-02,0.0,ACC-7505,Pending review,2025-11-01 19:53:42
Bhatia-Kara,09VUPRT77GGK1ZK,INV-00156,2025-04-19,Payable,369942.85,313510.89,0.0,0.0,56431.96,56431.96,Partial,2025-04-25,3699.43,ACC-1159,Verified,2025-11-01 19:53:42
Khatri-Sastry,09E38SRYO4RC1ZZ,INV-00157,2025-09-25,Receivable,123962.43,118059.46,2951.49,2951.49,0.0,5902.97,Unpaid,2025-09-29,0.0,ACC-6070,Verified,2025-11-01 19:53:42
"Kapoor, Dani and Raju",29TGQ01TEE132ZR,INV-00158,2025-09-23,Payable,38898.12,30389.16,0.0,0.0,8508.96,8508.96,Paid,2025-09-27,388.98,ACC-2640,,2025-11-01 19:53:42
Chanda PLC,09D31K9QM3P91ZG,INV-00159,2025-09-13,Receivable,351737.6,298082.71,26827.44,26827.44,0.0,53654.89,Paid,2025-10-03,3517.38,ACC-1312,Pending review,2025-11-01 19:53:42
Ahuja-Vala,29W232UTVG9K4ZI,INV-00160,2025-05-22,Receivable,517533.73,492889.27,0.0,0.0,24644.46,24644.46,Unpaid,2025-06-14,5175.34,ACC-7374,Verified,2025-11-01 19:53:42
Bawa and Sons,09795E5IZ31Y2ZE,INV-00161,2025-06-23,Payable,409442.52,319876.97,44782.78,44782.78,0.0,89565.55,Paid,2025-07-14,0.0,ACC-7077,Pending review,2025-11-01 19:53:42
Shenoy LLC,09C21O0Z5QRU4ZC,INV-00162,2025-09-10,Receivable,573897.3,486353.64,0.0,0.0,87543.66,87543.66,Unpaid,2025-10-03,5738.97,ACC-3902,Verified,2025-11-01 19:53:42
"Acharya, Buch and Comar",19O83RLKTE424ZY,INV-00163,2024-09-25,Payable,41615.4,32512.03,0.0,0.0,9103.37,9103.37,Partial,2024-09-30,0.0,ACC-6140,Approved,2025-11-01 19:53:42
Iyengar PLC,277FQ9P965K52ZC,INV-00164,2025-08-02,Payable,195944.01,186613.34,4665.34,4665.34,0.0,9330.67,Paid,2025-08-08,1959.44,ACC-1831,Verified,2025-11-01 19:53:42
"Sarin, Sura and Patla",246FOKZIXZAR1ZS,INV-00165,2024-12-25,Receivable,338595.43,264527.68,0.0,0.0,74067.75,74067.75,Paid,2025-01-05,0.0,ACC-3999,Approved,2025-11-01 19:53:42
Garde-Malhotra,27Z39PECN0DL2ZE,INV-00166,2025-03-15,Receivable,435675.12,388995.64,0.0,0.0,46679.48,46679.48,Unpaid,2025-04-05,4356.75,ACC-6567,Verified,2025-11-01 19:53:42
"Dugar, Mukherjee and Bhavsar",27TAXP0WFOY41ZD,INV-00167,2024-11-11,Receivable,484733.91,378698.37,53017.77,53017.77,0.0,106035.54,Unpaid,2024-11-13,4847.34,ACC-9066,Verified,2025-11-01 19:53:42
Bail and Sons,09LFJDTVV2Y44ZJ,INV-00168,2024-12-15,Receivable,295340.72,263697.07,15821.83,15821.83,0.0,31643.65,Partial,2024-12-22,2953.41,ACC-8597,Verified,2025-11-01 19:53:42
Chatterjee PLC,07X22INIWC5A2ZK,INV-00169,2024-11-07,Receivable,255424.95,199550.74,27937.1,27937.1,0.0,55874.21,Partial,2024-12-01,2554.25,ACC-6999,Verified,2025-11-01 19:53:42
Bava-Luthra,19Y181ACJBC24ZJ,INV-00170,2025-07-19,Payable,459760.96,359188.25,50286.36,50286.36,0.0,100572.71,Partial,2025-08-13,4597.61,ACC-1788,Verified,2025-11-01 19:53:42
Khalsa PLC,24OXTFDC79FL4ZU,INV-00171,2025-09-26,Receivable,439863.87,418917.97,10472.95,10472.95,0.0,20945.9,Unpaid,2025-10-18,4398.64,ACC-5981,Verified,2025-11-01 19:53:42
"Sunder, Magar and Bora",24P8II7EWBXX1ZD,INV-00172,2024-09-07,Payable,374714.86,356871.3,0.0,0.0,17843.56,17843.56,Partial,2024-10-06,3747.15,ACC-1049,Approved,2025-11-01 19:53:42
Dayal LLC,098S2ZGE2J511ZK,INV-00173,2025-04-08,Receivable,150434.01,143270.49,3581.76,3581.76,0.0,7163.52,Paid,2025-04-10,1504.34,ACC-8019,Verified,2025-11-01 19:53:42
Sunder LLC,249WRSB4GF164ZX,INV-00174,2024-10-30,Receivable,128014.08,121918.17,0.0,0.0,6095.91,6095.91,Paid,2024-11-02,1280.14,ACC-2536,Pending review,2025-11-01 19:53:42
"Lala, Bakshi and Das",27IQNF74T60P2ZH,INV-00175,2025-04-02,Receivable,541347.22,458768.83,41289.19,41289.19,0.0,82578.39,Partial,2025-04-22,5413.47,ACC-9936,Approved,2025-11-01 19:53:42
Shere-Sani,27UEYBISBO552ZK,INV-00176,2024-10-15,Receivable,295065.52,281014.78,7025.37,7025.37,0.0,14050.74,Paid,2024-11-14,0.0,ACC-6578,Pending review,2025-11-01 19:53:42
Subramaniam-Chana,29K20IN8910T1ZE,INV-00177,2024-09-04,Payable,490218.53,466874.79,0.0,0.0,23343.74,23343.74,Unpaid,2024-09-17,0.0,ACC-1971,,2025-11-01 19:53:42
Choudhary-Dhar,19M458AX40DT1ZN,INV-00178,2025-05-10,Receivable,538698.36,480980.68,28858.84,28858.84,0.0,57717.68,Partial,2025-05-29,0.0,ACC-1314,,2025-11-01 19:53:42
Basak PLC,27BI4O6Q0USW2ZC,INV-00179,2025-07-01,Receivable,368937.16,288232.16,0.0,0.0,80705.0,80705.0,Partial,2025-07-03,0.0,ACC-7338,,2025-11-01 19:53:42
Amble PLC,29K47O3LQI7E4ZD,INV-00180,2024-11-19,Receivable,79068.54,61772.3,8648.12,8648.12,0.0,17296.24,Unpaid,2024-11-21,790.69,ACC-4958,,2025-11-01 19:53:42
Deshpande-Dhar,07OT8HLJEFY34ZT,INV-00181,2024-09-21,Receivable,136125.02,115360.19,0.0,0.0,20764.83,20764.83,Partial,2024-10-13,0.0,ACC-4568,Pending review,2025-11-01 19:53:42
Bath-Bhargava,27Z8OBK3G84U4ZH,INV-00182,2024-10-19,Receivable,264769.33,236401.19,0.0,0.0,28368.14,28368.14,Unpaid,2024-11-07,2647.69,ACC-7143,Pending review,2025-11-01 19:53:42
Palla-Kuruvilla,27C2IHOY7DV71ZA,INV-00183,2024-10-04,Payable,136829.0,106897.66,0.0,0.0,29931.34,29931.34,Paid,2024-10-17,0.0,ACC-7176,Pending review,2025-11-01 19:53:42
Vig LLC,2763LBQGU3OB4ZN,INV-00184,2024-11-28,Receivable,205444.05,183432.19,11005.93,11005.93,0.0,22011.86,Unpaid,2024-11-29,0.0,ACC-6700,Verified,2025-11-01 19:53:42
Ganguly-Gaba,07QFWWXR5RDN2ZG,INV-00185,2025-07-27,Payable,496697.3,443479.73,0.0,0.0,53217.57,53217.57,Unpaid,2025-08-03,4966.97,ACC-6129,Approved,2025-11-01 19:53:42
Srinivasan-Pradhan,092MTR6SNGLH2ZB,INV-00186,2025-04-30,Payable,301752.44,269421.82,0.0,0.0,32330.62,32330.62,Unpaid,2025-05-06,0.0,ACC-8526,Approved,2025-11-01 19:53:42
Hans LLC,27IIT2018U9N1ZF,INV-00187,2024-12-31,Payable,354394.78,300334.56,0.0,0.0,54060.22,54060.22,Partial,2025-01-02,3543.95,ACC-3448,Pending review,2025-11-01 19:53:42
"Doctor, Venkatesh and Sehgal",24Z8UUG95RLR1ZB,INV-00188,2024-12-29,Payable,320055.51,304814.77,7620.37,7620.37,0.0,15240.74,Unpaid,2025-01-09,3200.56,ACC-2142,Verified,2025-11-01 19:53:42
Borah-Oak,27LW3MG25CFZ1ZY,INV-00189,2024-10-27,Payable,501235.24,424775.63,0.0,0.0,76459.61,76459.61,Partial,2024-10-29,5012.35,ACC-7910,Verified,2025-11-01 19:53:42
"Bora, Patla and Nayak",07ZXVML90PXR2ZF,INV-00190,2025-08-29,Receivable,571927.14,484684.02,0.0,0.0,87243.12,87243.12,Paid,2025-08-30,5719.27,ACC-9863,,2025-11-01 19:53:42
Butala Inc,24VGLYE088O94ZB,INV-00191,2024-12-03,Receivable,341790.9,305170.45,0.0,0.0,36620.45,36620.45,Paid,2024-12-04,0.0,ACC-2911,Verified,2025-11-01 19:53:42
"Dhawan, Deol and Mammen",09F0I9G5DZX52ZA,INV-00192,2025-01-14,Receivable,118382.57,112745.3,2818.64,2818.64,0.0,5637.27,Unpaid,2025-01-29,0.0,ACC-3229,Verified,2025-11-01 19:53:42
Gulati Inc,072ZBPPFO5MN2ZZ,INV-00193,2025-06-23,Receivable,368452.1,328975.09,0.0,0.0,39477.01,39477.01,Partial,2025-07-04,3684.52,ACC-8479,Approved,2025-11-01 19:53:42
"Datta, Mani and Naik",09C4KL8CGN0T1ZK,INV-00194,2025-07-02,Receivable,630765.17,492785.29,0.0,0.0,137979.88,137979.88,Unpaid,2025-07-30,6307.65,ACC-4048,Verified,2025-11-01 19:53:42
"Sandhu, Baria and Vaidya",097F6FDHGZZ02ZV,INV-00195,2025-01-23,Payable,163512.64,155726.32,0.0,0.0,7786.32,7786.32,Partial,2025-02-16,1635.13,ACC-7938,Approved,2025-11-01 19:53:42
"Sampath, Som and Loke",09U4FMPKXVHA1ZU,INV-00196,2025-01-28,Payable,625610.59,488758.27,0.0,0.0,136852.32,136852.32,Unpaid,2025-01-30,0.0,ACC-4936,,2025-11-01 19:53:42
Tailor-Patla,072Q6JXNNNGB2ZO,INV-00197,2025-01-13,Payable,142613.29,120858.72,0.0,0.0,21754.57,21754.57,Paid,2025-02-11,1426.13,ACC-8496,Approved,2025-11-01 19:53:42
"Deol, Amble and Prasad",291YDMT8VT432ZR,INV-00198,2025-08-18,Receivable,556515.93,434778.07,0.0,0.0,121737.86,121737.86,Partial,2025-08-24,0.0,ACC-8568,,2025-11-01 19:53:42
Sarna Inc,09KO4BUSU9F82ZF,INV-00199,2024-11-25,Payable,544724.08,486360.79,0.0,0.0,58363.29,58363.29,Partial,2024-12-15,0.0,ACC-8289,Verified,2025-11-01 19:53:42
Gill Inc,27P9P9W4J66C2ZR,INV-00200,2025-03-23,Payable,330997.73,280506.55,25245.59,25245.59,0.0,50491.18,Unpaid,2025-04-19,0.0,ACC-1100,Pending review,2025-11-01 19:53:42
Shan-Chadha,272WSPOFV1774ZY,INV-00201,2024-10-22,Payable,466118.12,395015.36,35551.38,35551.38,0.0,71102.76,Unpaid,2024-11-14,4661.18,ACC-2621,Pending review,2025-11-01 19:53:42
"Shroff, Chaudhari and Buch",07NRVBJFVYB62ZW,INV-00202,2024-12-31,Payable,43715.3,34152.58,4781.36,4781.36,0.0,9562.72,Unpaid,2025-01-30,437.15,ACC-3039,,2025-11-01 19:53:42
"Bir, Vora and Merchant",07A3KKRZD5E92ZY,INV-00203,2025-02-12,Payable,181780.21,142015.79,0.0,0.0,39764.42,39764.42,Partial,2025-02-24,1817.8,ACC-8106,Verified,2025-11-01 19:53:42
"Nath, Nagi and Goel",29P6ORSNC2CZ2ZE,INV-00204,2025-05-27,Payable,462916.62,440872.97,0.0,0.0,22043.65,22043.65,Partial,2025-06-10,0.0,ACC-7085,Approved,2025-11-01 19:53:42
Sampath Ltd,295HCBBMHNQO1ZV,INV-00205,2024-09-16,Payable,164543.58,128549.67,17996.96,17996.96,0.0,35993.91,Partial,2024-10-05,1645.44,ACC-8598,,2025-11-01 19:53:42
Guha Ltd,298RTM4J3DAB4ZY,INV-00206,2024-12-19,Payable,481582.62,429984.48,0.0,0.0,51598.14,51598.14,Partial,2025-01-11,0.0,ACC-9466,Verified,2025-11-01 19:53:42
Baral PLC,07XS58YREG2I4ZZ,INV-00207,2025-02-04,Payable,423906.55,359242.84,32331.85,32331.85,0.0,64663.71,Unpaid,2025-03-06,0.0,ACC-9765,Pending review,2025-11-01 19:53:42
Devan and Sons,094QHKSWVA982ZR,INV-00208,2025-07-29,Payable,355119.29,300948.55,27085.37,27085.37,0.0,54170.74,Partial,2025-08-11,3551.19,ACC-3532,,2025-11-01 19:53:42
Sangha-Dora,24DC9X5JZ6KF1ZB,INV-00209,2025-07-05,Payable,245449.71,208008.23,0.0,0.0,37441.48,37441.48,Partial,2025-07-14,0.0,ACC-6095,Verified,2025-11-01 19:53:42
"Brahmbhatt, Krishnan and Sood",24ARK6O0U93M4ZH,INV-00210,2025-08-18,Payable,348123.14,271971.2,38075.97,38075.97,0.0,76151.94,Partial,2025-08-23,0.0,ACC-8811,Pending review,2025-11-01 19:53:42
Choudhury Inc,19KGXUKQ00U64ZK,INV-00211,2025-08-02,Payable,63433.15,53756.91,0.0,0.0,9676.24,9676.24,Paid,2025-08-08,634.33,ACC-5825,Pending review,2025-11-01 19:53:42
Varma-Bhavsar,245P5NVQEBWU4ZC,INV-00212,2025-04-30,Payable,468109.71,445818.77,11145.47,11145.47,0.0,22290.94,Paid,2025-05-22,4681.1,ACC-1969,Approved,2025-11-01 19:53:42
"Kota, Dixit and Dube",19KB4EHOU6QL4ZF,INV-00213,2024-10-12,Payable,278784.36,248914.61,14934.88,14934.88,0.0,29869.75,Unpaid,2024-10-21,0.0,ACC-5567,Pending review,2025-11-01 19:53:42
Raja and Sons,24CQH1UF22EP2ZM,INV-00214,2025-04-08,Payable,618253.62,483010.64,0.0,0.0,135242.98,135242.98,Partial,2025-05-06,6182.54,ACC-2797,Verified,2025-11-01 19:53:42
Balan-Gandhi,27T0861TAA0I2ZJ,INV-00215,2024-11-06,Receivable,71185.9,60327.03,0.0,0.0,10858.87,10858.87,Unpaid,2024-11-25,711.86,ACC-4215,Verified,2025-11-01 19:53:42
"Mishra, Suresh and Dua",273KK0VM59M62ZY,INV-00216,2024-12-06,Payable,116214.94,90792.92,0.0,0.0,25422.02,25422.02,Partial,2024-12-27,1162.15,ACC-3090,Verified,2025-11-01 19:53:42
Balakrishnan and Sons,29I9HASEZ2NX4ZT,INV-00217,2024-09-25,Payable,316073.93,301022.79,0.0,0.0,15051.14,15051.14,Paid,2024-10-04,3160.74,ACC-3445,Pending review,2025-11-01 19:53:42
Mukherjee-Sem,244BEPEJZHYA2ZV,INV-00218,2024-10-22,Payable,394847.65,334616.65,0.0,0.0,60231.0,60231.0,Paid,2024-11-14,0.0,ACC-6884,Pending review,2025-11-01 19:53:42
Kurian LLC,093DZEEDHHJS1ZL,INV-00219,2025-08-27,Payable,236074.22,210780.55,0.0,0.0,25293.67,25293.67,Paid,2025-09-08,2360.74,ACC-1678,Pending review,2025-11-01 19:53:42
Chad Inc,19RH7LAY64YF1ZY,INV-00220,2025-05-20,Payable,49112.3,46773.62,1169.34,1169.34,0.0,2338.68,Unpaid,2025-05-31,491.12,ACC-7670,Approved,2025-11-01 19:53:42
"Saha, Seth and Doctor",24I9KQDGBK2L4ZD,INV-00221,2024-10-19,Receivable,448466.01,427110.49,0.0,0.0,21355.52,21355.52,Paid,2024-10-20,4484.66,ACC-1941,Approved,2025-11-01 19:53:42
"Deo, Singhal and Wagle",29XGMPW5D3GO2ZI,INV-00222,2025-03-17,Payable,445506.8,348052.19,48727.31,48727.31,0.0,97454.61,Unpaid,2025-04-01,0.0,ACC-7518,Verified,2025-11-01 19:53:42
"Murty, Dutt and Chaudhuri",245GE094D6RU2ZF,INV-00223,2025-07-10,Payable,231371.9,196077.88,0.0,0.0,35294.02,35294.02,Paid,2025-08-04,0.0,ACC-1375,Pending review,2025-11-01 19:53:42
Setty-Kurian,24506RR5PCXA4ZQ,INV-00224,2025-09-28,Payable,419300.75,374375.67,22462.54,22462.54,0.0,44925.08,Unpaid,2025-10-20,4193.01,ACC-2212,,2025-11-01 19:53:42
"Savant, Singh and Rama",19SZDXIMYN4U4ZB,INV-00225,2024-09-06,Receivable,364297.21,325265.37,19515.92,19515.92,0.0,39031.84,Unpaid,2024-10-04,3642.97,ACC-3607,Pending review,2025-11-01 19:53:42
Mand-Parikh,095CRI8BIXOI2ZO,INV-00226,2025-06-21,Payable,293847.44,229568.31,32139.56,32139.56,0.0,64279.13,Paid,2025-06-30,0.0,ACC-9867,Approved,2025-11-01 19:53:42
"Ravi, Barad and Gole",07ERXDOUADVW2ZQ,INV-00227,2025-06-15,Payable,142537.1,111357.11,15590.0,15590.0,0.0,31179.99,Partial,2025-06-28,0.0,ACC-3471,Verified,2025-11-01 19:53:42
"Mann, Kalita and Varughese",07334L1VZNQD4ZH,INV-00228,2024-09-02,Payable,209172.69,177264.99,15953.85,15953.85,0.0,31907.7,Paid,2024-09-16,0.0,ACC-9209,Verified,2025-11-01 19:53:42
Manne PLC,24D6R30OJHE41ZO,INV-00229,2024-12-07,Receivable,379287.38,361226.08,9030.65,9030.65,0.0,18061.3,Unpaid,2024-12-25,3792.87,ACC-7843,,2025-11-01 19:53:42
Chokshi-Singh,2774V1QX8ERT1ZR,INV-00230,2025-04-10,Receivable,538905.46,421019.89,0.0,0.0,117885.57,117885.57,Paid,2025-04-23,0.0,ACC-7455,Pending review,2025-11-01 19:53:42
Swaminathan-Bahl,24U0ENV5SN961ZI,INV-00231,2025-03-23,Payable,568949.78,482160.83,43394.47,43394.47,0.0,86788.95,Partial,2025-04-09,5689.5,ACC-6931,Approved,2025-11-01 19:53:42
Palla Ltd,29EV5S4TL0TH1ZT,INV-00232,2025-09-01,Payable,179813.06,152383.95,0.0,0.0,27429.11,27429.11,Unpaid,2025-09-20,0.0,ACC-5173,Approved,2025-11-01 19:53:42
Kar-Anne,24X8SYLEMRUY2ZV,INV-00233,2025-09-18,Payable,528633.32,447994.34,40319.49,40319.49,0.0,80638.98,Unpaid,2025-10-02,0.0,ACC-4216,Approved,2025-11-01 19:53:42
"Bhatia, Lal and Choudhury",27SAFYH1FKJ44ZZ,INV-00234,2025-01-30,Payable,115458.46,109960.44,2749.01,2749.01,0.0,5498.02,Partial,2025-02-07,1154.58,ACC-6632,Verified,2025-11-01 19:53:42
"Mandal, Zachariah and Mani",09D5050UI22K4ZB,INV-00235,2025-03-15,Receivable,235884.1,199901.78,0.0,0.0,35982.32,35982.32,Partial,2025-04-04,0.0,ACC-8432,Pending review,2025-11-01 19:53:42
"Sachdeva, Sibal and Wason",270H54PIWZNV4ZT,INV-00236,2024-12-10,Payable,437149.34,390311.91,23418.72,23418.72,0.0,46837.43,Paid,2024-12-23,0.0,ACC-2924,Verified,2025-11-01 19:53:42
Vyas Group,09GYGGSNPUEV2ZA,INV-00237,2025-02-17,Receivable,267122.64,238502.36,0.0,0.0,28620.28,28620.28,Paid,2025-02-26,0.0,ACC-7732,Pending review,2025-11-01 19:53:42
"Palla, Sethi and Batra",297V1W4K2TCZ4ZH,INV-00238,2024-12-04,Receivable,296908.73,265097.08,15905.83,15905.83,0.0,31811.65,Partial,2024-12-22,2969.09,ACC-5367,Pending review,2025-11-01 19:53:42
"Nayar, Ramaswamy and Trivedi",19TDHHLMH1T94ZA,INV-00239,2024-10-29,Payable,432358.21,337779.85,0.0,0.0,94578.36,94578.36,Partial,2024-11-15,4323.58,ACC-1643,,2025-11-01 19:53:42
"Pai, Pandey and Guha",24WW8YL68NTK4ZY,INV-00240,2025-03-11,Payable,335374.64,262011.44,36681.6,36681.6,0.0,73363.2,Partial,2025-03-31,3353.75,ACC-3416,Pending review,2025-11-01 19:53:42
Aggarwal Group,27KXLCD81TWH4ZY,INV-00241,2024-12-19,Receivable,555297.18,433825.92,0.0,0.0,121471.26,121471.26,Partial,2024-12-22,5552.97,ACC-7230,Approved,2025-11-01 19:53:42
Varty LLC,29TZ91X70FQL1ZC,INV-00242,2024-09-28,Payable,114715.07,97216.16,0.0,0.0,17498.91,17498.91,Paid,2024-10-16,0.0,ACC-4922,Pending review,2025-11-01 19:53:42
Mandal-Merchant,1936OQOLOEAZ1ZY,INV-00243,2025-09-17,Receivable,311795.33,296947.93,7423.7,7423.7,0.0,14847.4,Unpaid,2025-09-23,3117.95,ACC-1943,Approved,2025-11-01 19:53:42
Kaur-Sharaf,19D2KD1POXRT1ZX,INV-00244,2025-03-20,Payable,472492.66,400417.51,0.0,0.0,72075.15,72075.15,Paid,2025-03-28,0.0,ACC-4314,Verified,2025-11-01 19:53:42
Dar Inc,07Y620N8TTEA4ZM,INV-00245,2025-06-03,Payable,292201.84,278287.47,6957.19,6957.19,0.0,13914.37,Paid,2025-06-06,2922.02,ACC-6993,,2025-11-01 19:53:42
